'a'bi'ke'tang 阿比可糖
'pang'guang'qie'chu'shu 膀胱切除术
'pang'guang'quan'qie'chu'shu 膀胱全切除术
'pang'guang'que'ru 膀胱缺如
'pang'guang'rou'liu 膀胱肉瘤
'pang'guang'ru'tou'zhuang'ai 膀胱乳头状癌
'pang'guang'ru'tou'zhuang'liu 膀胱乳头状瘤
'pang'guang'ru'tou'zhuang'liu'bing 膀胱乳头状瘤病
'pang'guang'san'dui'bi'zao'ying 膀胱三对比造影
'pang'guang'san'jiao'qu'yan 膀胱三角区炎
'pang'guang'shang'zu'zhi'yan 膀胱上组织炎
'pang'guang'shi'ge'xi'bao'liu 膀胱嗜铬细胞瘤
'pang'guang'shu'niao'guan'fan'liu 膀胱输尿管反流
'pang'guang'shu'niao'guan'lou 膀胱输尿管瘘
'pang'guang'shu'niao'guan'yi'zhi'shu 膀胱输尿管移植术
'pang'guang'shuang'dui'bi'zao'ying 膀胱双对比造影
'pang'guang'sui'shi'xi'chu'shu 膀胱碎石洗出术
'pang'guang'tuo'chui 膀胱脱垂
'pang'guang'wai'fan 膀胱外翻
'pang'guang'xian'ai 膀胱腺癌
'pang'guang'xian'liu 膀胱腺瘤
'pang'guang'xiao'chang'lie 膀胱小肠裂
'pang'guang'xiao'liang'xing'cheng 膀胱小梁形成
'pang'guang'xing 膀胱形
'pang'guang'xue'guan'liu 膀胱血管瘤
'pang'guang'yi'hang'xi'bao'ai 膀胱移行细胞癌
'pang'guang'yi'wu 膀胱异物
'pang'guang'yin'dao'lou 膀胱阴道瘘
'pang'guang'yuan'wei'ai 膀胱原位癌
'pang'guang'zhen'jun'bing 膀胱真菌病
'pang'guang'zhi'chang'lou 膀胱直肠瘘
'pang'guang'zhong'liu 膀胱肿瘤
'pang'guang'zhou'yan 膀胱周炎
'pang'guang'zhuang'xi'bao 膀胱状细胞
'pang'guang'zi'dian 膀胱紫癜
'pang'guang'zi'gong'lou 膀胱子宫瘘
'pang'guang'zi'gong'nei'mo'yi'wei'zheng 膀胱子宫内膜异位症
'pang'huang'bian 彷徨变
'pang'huang'bian'yi 彷徨变异
'pang'huang'bian'yi'ce'yan 彷徨变异测验
'pang'ji'ti 旁基体
'pang'lu'jian'jie 旁路剪接
'pang'lu'tu'jing 旁路途径
'pang'po'shi'zheng 庞珀氏症
'pang'rong'qiu 旁绒球
'pang'rong'qiu'xiao'nao 旁绒球小脑
'pang'xi'tong'yuan'wu 旁系同源物
'pang'xi'yi'chuan 旁系遗传
'pang'zhe'yuan'xing 旁褶缘型
'pang'zheng'zhong'qie'kou 旁正中切口
'pang'zhou'suo 旁轴索
'pao'gu 炮骨
'pao'mi'ding 咆嘧啶
'pao'mo'bing'du 泡沫病毒
'pao'mo'ceng'xi 泡沫层析
'pao'mo'fen'bu 泡沫分部
'pao'nang 泡囊
'pao'nang'xing 泡囊形
'pao'nang'zhuang'guo'bei 泡囊状果被
'pao'nei'luan'zi'fa'sheng 泡内卵子发生
'pao'wu'xian'sheng'zhang 抛物线生长
'pao'wu'xing'yi'zhi 抛物型抑制
'pao'xi'bao 泡细胞
'pao'xin'xi'bao 泡心细胞
'pao'zhao'ta 泡罩塔
'pao'zhen'bing'du 疱疹病毒
'pao'zhen'hou'shen'jing'tong 疱疹后神经痛
'pao'zhen'xing'shi'zhen 疱疹性湿疹
'pao'zhen'xing'wai'yin'yin'dao'yan 疱疹性外阴阴道炎
'pao'zhen'xing'xu'chuang 疱疹性须疮
'pao'zhen'xing'yin'kou'yan 疱疹性龈口炎
'pao'zhen'yang'a'fu'ta'kou'yan 疱疹样阿弗他口炎
'pao'zhen'yang'nong'pao'bing 疱疹样脓疱病
'pao'zhen'yang'pi'yan 疱疹样皮炎
'pao'zhen'yang'tian'pao'chuang 疱疹样天疱疮
'pao'zhen'yang'ying'ban'bing 疱疹样硬斑病
'pao'zhi 泡质
'pao'zhuang'tu'qi 疱状突起
'pao'zhuang'xi'bao 泡状细胞
'pao'zhuang'xian 泡状腺
'pao'zhuang'xiu'zi'qi 泡状锈子器
'pei'ban 胚斑
'pei'ban 胚板
'pei'ban'dan'bai 陪伴蛋白
'pei'bei 胚被
'pei'bian'yin'zi 胚变因子
'pei'bing 胚柄
'pei'bing'xi 胚柄系
'pei'bing'xi'tong 胚柄系统
'pei'ceng 胚层
'pei'ceng'yuan 胚层原
'pei'cu'chong 陪簇虫
'pei'dai 胚带
'pei'de'yan'chang'bu'fen 胚的延长部分
'pei'dong 胚动
'pei'dui'deng'wei'ji'yin 配对等位基因
'pei'dui'duan 配对段
'pei'dui'zu'duan 配对组段
'pei'dun 胚盾
'pei'er'te'si'shi'yan 佩尔特斯试验
'pei'gai 胚盖
'pei'gen 胚根
'pei'gen'qiao 胚根鞘
'pei'gen'yuan 胚根原
'pei'guan 胚管
'pei'he'jin'ji 配合禁忌
'pei'he'zhi'wu 配核植物
'pei'huo'su 胚活素
'pei'ji 胚迹
'pei'ji 胚基
'pei'ji 胚极
'pei'ji 配基
'pei'ji'bu'shi'tang 配基不是糖
'pei'ji'te'bing 佩吉特病
'pei'ji'xiang'hu'zuo'yong 配基相互作用
'pei'jia'jian 配价键
'pei'jia'lian 配价链
'pei'jie 胚结
'pei'jing 胚茎
'pei'ke 胚壳
'pei'kong 胚孔
'pei'mo 胚膜
'pei'nang 胚囊
'pei'nang'guan 胚囊管
'pei'nang'pao 胚囊泡
'pei'nang'rong'he 配囊融合
'pei'nang'ye 胚囊液
'pei'ou'sha'shang'xi'bao 配偶杀伤细胞
'pei'ou'shen'yi'zhi 配偶肾移植
'pei'ou'ti 配偶体
'pei'pan 胚盘
'pei'pao 胚泡
'pei'pi'ceng 胚皮层
'pei'qi 胚期
'pei'ru 胚乳
'pei'ru'he 胚乳核
'pei'shang'pi 胚上皮
'pei'shen 胚肾
'pei'shen'guan 胚肾管
'pei'shen'jing'kong 胚神经孔
'pei'shi'zhuo'se'mei 裴氏着色霉
'pei'shuan 胚栓
'pei'sui 胚髓
'pei'suo 胚索
'pei'tai'fa'sheng 胚胎发生
'pei'tai'fa'yu 胚胎发育
'pei'tai'fa'yu'de'jin'cheng'tu 胚胎发育的进程图
'pei'tai'gan'xi'bao'yi'zhi 胚胎肝细胞移植
'pei'tai'gan'yi'zhi 胚胎肝移植
'pei'tai'nao'zu'zhi'yi'zhi 胚胎脑组织移植
'pei'tai'pei'yang 胚胎培养
'pei'tai'qi 胚胎期
'pei'tai'qi'fa'yu'bu'liang 胚胎期发育不良
'pei'tai'qi'guan'yi'zhi 胚胎器官移植
'pei'tai'shen'yi'zhi 胚胎肾移植
'pei'tai'xi'bao 胚胎细胞
'pei'tai'xi'tong'fa'yu 胚胎系统发育
'pei'tai'xue 胚胎学
'pei'tai'yi'zhi 胚胎移植
'pei'tai'you'dao 胚胎诱导
'pei'tai'zhi'yu 胚胎滞育
'pei'tai'zhuang'tai 胚胎状态
'pei'tai'zi'yang'ceng 胚胎滋养层
'pei'tai'zu'zhi'yi'zhi 胚胎组织移植
'pei'tang'ti 配糖体
'pei'ti 配体
'pei'ti'bi 胚体壁
'pei'ti'fa'sheng 配体发生
'pei'ti'jiao'huan 配体交换
'pei'ti'jie'he 配体结合
'pei'ti'qin'he'xing 配体亲和性
'pei'ti'shang'sheng 胚体上升
'pei'ti'te'yi'xing 配体特异性
'pei'ti'xia'jiang 胚体下降
'pei'ti'ying'yang 胚体营养
'pei'ti'ying'yang'wu 胚体营养物
'pei'ti'zhuan'yi'xing 配体专一性
'pei'tui'hua 胚退化
'pei'tuo 胚托
'pei'wai'jie'gou 胚外结构
'pei'wai'ti'qiang 胚外体腔
'pei'wei'chang 配位场
'pei'wei'ji 配位基
'pei'wei'ti 配位体
'pei'xi'bao 胚细胞
'pei'xi'bao'bian'xing 胚细胞变性
'pei'xi'bao'liu 胚细胞瘤
'pei'xi'bao'yang'zhuan'bian 胚细胞样转变
'pei'xing 胚型
'pei'xing'gan'xi'bao 胚性干细胞
'pei'ya'qiao 胚芽鞘
'pei'yang'de'xi'bao 培养的细胞
'pei'yang'guan 培养管
'pei'yang'ji 培养基
'pei'yang'min 培养皿
'pei'yang'ping 培养瓶
'pei'yang'tiao'jian 培养条件
'pei'yang'wu 培养物
'pei'yang'wu'bao'cang 培养物保藏
'pei'yang'wu'lv'ye 培养物滤液
'pei'yang'xiang 培养箱
'pei'yang'ye 培养液
'pei'yang'you'hua 培养优化
'pei'ye 胚叶
'pei'ye 胚液
'pei'yu'fan'zhi 培育繁殖
'pei'yuan'ji 胚原基
'pei'yuan'xi'bao 配原细胞
'pei'zang'bi 胚脏壁
'pei'zhi'fang 配制方
'pei'zhong'bian'xing 胚肿变性
'pei'zhong'qi 配种期
'pei'zhou 胚轴
'pei'zhou'qu 胚周区
'pei'zhu 胚珠
'pei'zhu'tuo 胚珠托
'pei'zhuang'ti 胚状体
'pei'zhui 胚锥
'pei'zi'bao'zi 配子孢子
'pei'zi'bu'qin'he'xing 配子不亲和性
'pei'zi'chun'du 配子纯度
'pei'zi'da'xing 配子大型
'pei'zi'fa'sheng 配子发生
'pei'zi'ge'li 配子隔离
'pei'zi'he 配子核
'pei'zi'ji'huo'su 配子激活素
'pei'zi'ji'su 配子激素
'pei'zi'jian'shu'fen'lie 配子减数分裂
'pei'zi'jie'he 配子结合
'pei'zi'jun'ti 配子菌体
'pei'zi'mu'xi'bao 配子母细胞
'pei'zi'nang 配子囊
'pei'zi'pei'he 配子配合
'pei'zi'qi 配子期
'pei'zi'ran'se'ti'shu 配子染色体数
'pei'zi'sheng'zhi 配子生殖
'pei'zi'ti 配子体
'pei'zi'tong'xing 配子同型
'pei'zi'tuo 配子托
'pei'zi'xi'bao 配子细胞
'pei'zi'xiang'xi'yin 配子相吸引
'pei'zi'xiao'xing 配子小型
'pei'zi'xing'cheng 配子形成
'pei'zi'xuan'ze 配子选择
'pei'zi'yi'xing 配子异型
'pei'zi'zhong'zi'sheng'zhi 配子种子生殖
'pei'zu'dai 胚足带
'pen'ni'bang'mai'jiao'jian 喷尼棒麦角碱
'pen'qiang'bao'chong'bing 盆腔包虫病
'pen'qiang'heng'wen'ji'rou'liu 盆腔横纹肌肉瘤
'pen'qiang'shen 盆腔肾
'pen'she'leng'dong'fa 喷射冷冻法
'pen'she'xue'liu'kong'dong'hua 喷射血流空洞化
'pen'ta'zuo'xin 喷他佐辛
'pen'wu'gan'zao 喷雾干燥
'pen'wu'gan'zao'qi 喷雾干燥器
'pen'wu'leng'dong 喷雾冷冻
'pen'zai'zhi'wu 盆栽植物
'pen'zui'huan'guan'fan'ying'qi 喷嘴环管反应器
'peng'bu 膨部
'peng'da'fu'duan 膨大跗端
'peng'da'wu'he'bao'jiang 膨大无核胞浆
'peng'fu'duan 膨腹端
'peng'fu'xian'xiang 膨腹现象
'peng'pao 膨泡
'peng'sha'yan'zhi'hong 硼砂胭脂红
'peng'sha'yang'hong 硼砂洋红
'peng'suan'gan'you 硼酸甘油
'peng'ti'guo'lv'jie'zhi 膨体过滤介质
'peng'tu 膨突
'peng'ya 膨压
'peng'zhang'bu'neng 膨胀不能
'peng'zhang'ce'ding'fa 膨胀测定法
'peng'zhang'xian'xiang 膨胀现象
'peng'zhang'xing'sheng'zhang 膨胀性生长
'peng'zhang'ya 膨胀压
'pi'ban'duan'di 皮瓣断蒂
'pi'ban'ni'zhuan'she'ji'fa 皮瓣逆转设计法
'pi'ban'shu'ping 皮瓣舒平
'pi'ban'xing'cheng 皮瓣形成
'pi'ban'xiu'bo 皮瓣修薄
'pi'ban'xiu'zheng 皮瓣修整
'pi'ban'xun'lian 皮瓣训练
'pi'ban'yi'zhi 皮瓣移植
'pi'ban'yi'zhi'shu 皮瓣移植术
'pi'ban'zhuan'yi 皮瓣转移
'pi'bing 脾病
'pi'ceng'ji'sui'shu 皮层脊髓束
'pi'ceng'jun'si'ti 皮层菌丝体
'pi'ceng'qie'chu 皮层切除
'pi'ceng'qu 皮层区
'pi'ceng'wei'guan'shu 皮层维管束
'pi'ceng'yuan 皮层原
'pi'chun 皮醇
'pi'ci 皮刺
'pi'dao 皮刀
'pi'ding'yao 蜱叮咬
'pi'dong'mai'liu 脾动脉瘤
'pi'du'su 脾毒素
'pi'fei'tai 皮啡肽
'pi'fu'a'mi'ba'bing 皮肤阿米巴病
'pi'fu'bai'hou 皮肤白喉
'pi'fu'bai'xue'bing 皮肤白血病
'pi'fu'bao'cun 皮肤保存
'pi'fu'bing'cai'se'tu 皮肤病彩色图
'pi'fu'bing'xue 皮肤病学
'pi'fu'cheng'se'bing 皮肤橙色病
'pi'fu'chong'xue 皮肤充血
'pi'fu'dian'fen'yang'bian'xing 皮肤淀粉样变性
'pi'fu'fan'ying 皮肤反应
'pi'fu'fan'ying'yin'zi 皮肤反应因子
'pi'fu'fu'shu'qi 皮肤附属器
'pi'fu'gai'zhi'chen'zhuo'zheng 皮肤钙质沉着症
'pi'fu'gu'liu 皮肤骨瘤
'pi'fu'guang'lao'hua 皮肤光老化
'pi'fu'hua'hen'zheng 皮肤划痕症
'pi'fu'hua'jie'qi 皮肤划界器
'pi'fu'hua'wen 皮肤划纹
'pi'fu'huai'ju 皮肤坏疽
'pi'fu'huai'si'du'su 皮肤坏死毒素
'pi'fu'hun'he'liu 皮肤混合瘤
'pi'fu'ji'nian'mo'wai'ceng 皮肤及粘膜外层
'pi'fu'jie 皮肤节
'pi'fu'jie'zhong 皮肤接种
'pi'fu'jin'ru'tu'jing 皮肤进入途径
'pi'fu'kang'yuan 皮肤抗原
'pi'fu'li'shi'man'bing 皮肤利什曼病
'pi'fu'lin'ba'xi'bao'jin'run'zheng 皮肤淋巴细胞浸润症
'pi'fu'lin'ba'xi'bao'liu 皮肤淋巴细胞瘤
'pi'fu'mao'xi'xue'guan'liu 皮肤毛细血管瘤
'pi'fu'min'hua'zuo'yong 皮肤敏化作用
'pi'fu'mo'xue'shu 皮肤磨削术
'pi'fu'nao'ji 皮肤脑脊
'pi'fu'niao'liu'gai'dao'shu 皮肤尿流改道术
'pi'fu'nong'zhong 皮肤脓肿
'pi'fu'ping'hua'ji'liu 皮肤平滑肌瘤
'pi'fu'rong'jie 皮肤溶解
'pi'fu'ru'tou'liu'bing 皮肤乳头瘤病
'pi'fu'ruan'hua 皮肤软化
'pi'fu'se'su 皮肤色素
'pi'fu'shen'jing'liu 皮肤神经瘤
'pi'fu'shen'jing'yan 皮肤神经炎
'pi'fu'shi'du 皮肤湿度
'pi'fu'song'chi'zheng 皮肤松弛症
'pi'fu'song'chui 皮肤松垂
'pi'fu'suan'jian'du 皮肤酸碱度
'pi'fu'tan'xing'guo'du'zong'he'zheng 皮肤弹性过度综合征
'pi'fu'ti'dai'pin 皮肤替代品
'pi'fu'wu'zhen'pen'zhu'qi 皮肤无针喷注器
'pi'fu'xian'wei'liu 皮肤纤维瘤
'pi'fu'xuan'jun'bing 皮肤癣菌病
'pi'fu'yang'hu 皮肤养护
'pi'fu'yang'zhuo'gan 皮肤痒灼感
'pi'fu'yi'se'bing 皮肤异色病
'pi'fu'yi'zhi 皮肤移植
'pi'fu'yi'zhi'shu 皮肤移植术
'pi'fu'ying'qu'bing 皮肤蝇蛆病
'pi'fu'zhen'jun 皮肤真菌
'pi'fu'zhen'jun'bian'tai'fan'ying 皮肤真菌变态反应
'pi'fu'zhen'jun'bing 皮肤真菌病
'pi'fu'zhi'du'ce'ding 皮肤脂度测定
'pi'fu'zhi'fang'qie'chu'shu 皮肤脂肪切除术
'pi'fu'zhi'liu 皮肤脂瘤
'pi'fu'zhi'min'kang'ti 皮肤致敏抗体
'pi'fu'zhong'kuai 皮肤肿块
'pi'fu'zhou'bi 皮肤皱襞
'pi'fu'zhu'nang'wei'you'bing 皮肤猪囊尾蚴病
'pi'ge'yang'wei 皮革样胃
'pi'ji 皮嵴
'pi'ji'xian'wei 皮肌纤维
'pi'ji'yan 皮肌炎
'pi'jiang'zhi'pi'shu 皮桨植皮术
'pi'jiao 皮角
'pi'jin'ji 脾浸剂
'pi'jiu'da'mai 啤酒大麦
'pi'jiu'hua'ku'wei'su 啤酒花苦味素
'pi'jiu'mai'ya 啤酒麦芽
'pi'ju'li 皮居里
'pi'juan'du'su 疲倦毒素
'pi'jun'su 皮菌素
'pi'ke'wai'ceng 皮壳外层
'pi'ke'yi'xia 皮克以下
'pi'kong'jun'su 皮孔菌素
'pi'lao'du'su 疲劳毒素
'pi'lao'gu'zhe 疲劳骨折
'pi'li'luo'fu'xin'jian 霹雳萝芙辛碱
'pi'lie'ru'fang'ban 劈裂乳房瓣
'pi'lie'shi'gan'yi'zhi 劈裂式肝移植
'pi'lin'qun'luo 毗邻群落
'pi'lin'xu'lie'fen'xi 毗邻序列分析
'pi'man 蜱螨
'pi'man'mu 蜱螨目
'pi'man'xue 蜱螨学
'pi'mei'jun'bing 皮霉菌病
'pi'men'jing'mai'zao'ying'shu 脾门静脉造影术
'pi'nang'zhong 脾囊肿
'pi'nei'fan'ying 皮内反应
'pi'nei'feng'he 皮内缝合
'pi'nei'zhi 皮内痣
'pi'pei'de'fen 匹配得分
'pi'pian'cheng'wang'qi 皮片成网器
'pi'pian'yi'zhi 脾片移植
'pi'pian'yi'zhi'shu 皮片移植术
'pi'po'lie 脾破裂
'pi'qie'chu'shu 脾切除术
'pi'qu 皮区
'pi'qu'zong'he'zheng 脾曲综合征
'pi'que'ru 脾缺如
'pi'rou'ya'zhong 铍肉芽肿
'pi'sai 皮鳃
'pi'san'shu 皮伞属
'pi'shang'ceng 皮上层
'pi'sheng'dan'zi 皮生担子
'pi'sheng'nang'zhuang'ti 皮生囊状体
'pi'sheng'zhen'jun 皮生真菌
'pi'sui 脾髓
'pi'sui'ce'ya 脾髓测压
'pi'sui'ya 脾髓压
'pi'suo'gen'guan'zuan 皮索根管钻
'pi'tong 皮酮
'pi'tong'zheng 皮痛症
'pi'wei'jing'mai 脾胃静脉
'pi'wen'xue 皮纹学
'pi'wen'ye'tu 皮纹叶突
'pi'xi 皮系
'pi'xi'bao 脾细胞
'pi'xi'bao'yi'zhi 脾细胞移植
'pi'xia'di'pi'ban 皮下蒂皮瓣
'pi'xia'ji'qi 皮下积气
'pi'xia'mao'ti 皮下毛体
'pi'xia'nian'fa'yin 皮下捻发音
'pi'xia'nong'zhong 皮下脓肿
'pi'xia'ru'xian'qie'chu'shu 皮下乳腺切除术
'pi'xia'shang 皮下伤
'pi'xia'zhi'fang'rou'ya'zhong'bing 皮下脂肪肉芽肿病
'pi'xia'zhu'she 皮下注射
'pi'xia'zu'zhi 皮下组织
'pi'xia'zu'zhi'zhen'jun'bing 皮下组织真菌病
'pi'xian 皮腺
'pi'xian'wei'xi'bao 皮纤维细胞
'pi'xiao'jie 脾小结
'pi'xie'kang'yuan 皮屑抗原
'pi'xuan'jun'zhen 皮癣菌疹
'pi'yan 脾炎
'pi'yan'wai'ping'mei 皮炎外瓶霉
'pi'yan'ya'sheng'jun 皮炎芽生菌
'pi'yang'nang'zhong 皮样囊肿
'pi'yang'xi'bao 皮样细胞
'pi'yi'zhi 脾移植
'pi'yi'zhi'fa 皮移植法
'pi'ying 皮蝇
'pi'zai'si'chun 皮甾四醇
'pi'zai'tong'si'chun 皮甾酮四醇
'pi'zai'wu'chun 皮甾五醇
'pi'zhen'jun'bing 皮真菌病
'pi'zhen'zhuang'bian'chang 披针状扁长
'pi'zhi'bo'chu'shu 皮质剥除术
'pi'zhi'chun 皮质醇
'pi'zhi'chun'zeng'duo'zheng 皮质醇增多症
'pi'zhi'dong'wu 皮质动物
'pi'zhi'ji'su 皮质激素
'pi'zhi'ji'su'lei 皮质激素类
'pi'zhi'ke'li 皮质颗粒
'pi'zhi'lei'gu'chun 皮质类固醇
'pi'zhi'lei'gu'chun'ji'su 皮质类固醇激素
'pi'zhi'lei'gu'chun'jie'he 皮质类固醇结合
'pi'zhi'qu 皮质区
'pi'zhi'que'fa 皮脂缺乏
'pi'zhi'su 皮质素
'pi'zhi'tie'yang'huan'dan'bai 皮质铁氧还蛋白
'pi'zhi'tong 皮质酮
'pi'zhi'xia'bu 皮质下部
'pi'zhi'xia'chu'xie 皮质下出血
'pi'zhi'xian 皮脂腺
'pi'zhi'xian'ai 皮脂腺癌
'pi'zhi'xian'bing 皮脂腺病
'pi'zhi'xian'lin'ba'xian'liu 皮脂腺淋巴腺瘤
'pi'zhi'xian'liu 皮脂腺瘤
'pi'zhi'xian'nang'zhong 皮脂腺囊肿
'pi'zhi'xian'nang'zhong'bing 皮脂腺囊肿病
'pi'zhi'xian'shang'pi'liu 皮脂腺上皮瘤
'pi'zhi'xian'xian'liu 皮脂腺腺瘤
'pi'zhi'xian'zeng'sheng 皮脂腺增生
'pi'zhi'xian'zhi 皮脂腺痣
'pi'zhi'yi'chu 皮脂溢出
'pi'zhi'zai'chun 皮质甾醇
'pi'zhi'zai'chun'shou'ti 皮质甾醇受体
'pi'zhi'zai'lei 皮质甾类
'pi'zhi'zai'lei'jie'he'qiu'dan'bai 皮质甾类结合球蛋白
'pi'zhi'zai'tong 皮质甾酮
'pi'zhi'zhuang'tai 皮质状态
'pi'zhui 皮赘
'pi'zhui'zhuang'duo'zhi 皮赘状多指
'pi'zu'zhi 皮组织
'pi'zu'zhi'fu'qiang'zhong'zhi 脾组织腹腔种植
'pian'ce'jing'luan 偏侧痉挛
'pian'ce'tu'he 偏侧凸颌
'pian'ceng 片层
'pian'duan'chang'du 片段长度
'pian'duan'chang'du'duo'tai'xing 片段长度多态性
'pian'duan'da'xiao 片段大小
'pian'duan'hua'dan'bai 片段化蛋白
'pian'duan'kang'ti'jie'he 片段抗体结合
'pian'duan'qian'yi'lv 片段迁移率
'pian'duan'tu'bian 片段突变
'pian'guang'xian'wei'jing 偏光显微镜
'pian'hai'gong'qi 偏害共栖
'pian'hai'zuo'yong 偏害作用
'pian'ji'hong'dan'bai 偏肌红蛋白
'pian'jiao 片胶
'pian'li 偏利
'pian'li'gong'qi 偏利共栖
'pian'li'gong'sheng 偏利共生
'pian'li'gong'sheng'xian'xiang 偏利共生现象
'pian'lian'ti 骈联体
'pian'lin'suan'mei 偏磷酸酶
'pian'liu'xing'jie'xian'lei'ma'feng 偏瘤型界线类麻风
'pian'mang 偏盲
'pian'mu'yi'chuan 偏母遗传
'pian'niu 犏牛
'pian'qing'dan'bai 片清蛋白
'pian'shang'sheng'zhang 偏上生长
'pian'shang'xing 偏上性
'pian'tu'ding'ji 偏途顶极
'pian'tu'ding'ji'qun'luo 偏途顶极群落
'pian'tu'yan'ti'ding'ji 偏途演替顶极
'pian'xia'fa'yu 偏下发育
'pian'xia'xing 偏下性
'pian'zhen'guang'jing 偏振光镜
'pian'zhen'guang'xian'wei'jing 偏振光显微镜
'pian'zhen'guang'xian'wei'jing'jian'shu 偏振光显微镜检术
'pian'zhen'hua 偏振化
'pian'zhen'lv'pian 偏振滤片
'pian'zhen'ying'guang 偏振荧光
'pian'zhi 胼胝
'pian'zhi'ti 胼胝体
'pian'zhi'ti'ya'bu 胼胝体压部
'pian'zhi'ti'yu'shang'zu'zhi 胼胝体愈伤组织
'pian'zhi'xing'cheng 胼胝形成
'pian'zhi'xing'kui'yang 胼胝性溃疡
'pian'zhi'zhi 胼胝质
'pian'zhi'zhi'yu'shang'pu'ju'tang 胼胝质愈伤葡聚糖
'pian'zhuan'du 偏转度
'pian'zhuang'chen'dian'wu 片状沉淀物
'pian'zhuang'chong'jiao 片状虫胶
'piao'bian 漂变
'piao'chong'lei 瓢虫类
'piao'fu'bao'zi 飘浮孢子
'piao'fu'mao'gen 漂浮毛茛
'piao'fu'sheng'wu 漂浮生物
'piao'fu'xi'shu 漂浮系数
'piao'fu'zhi'bei 漂浮植被
'piao'fu'zhi'wu 漂浮植物
'piao'fu'zhi'wu'qun'luo 漂浮植物群落
'piao'fu'zu'zhi 漂浮组织
'piao'ling 嘌呤
'piao'ling'he 嘌呤核
'piao'ling'he'gan'lin'suan'hua'mei 嘌呤核苷磷酸化酶
'piao'ling'huan'xi 嘌岭环系
'piao'ling'jian'ji 嘌呤碱基
'piao'ling'liu'su 嘌呤硫素
'piao'ling'mei 嘌呤酶
'piao'ling'mei'su 嘌呤霉素
'piao'ling'tuo'an'mei 嘌呤脱氨酶
'pie'yin'pie 氕音撇
'pin'he'ruan'gu'zhi'jia 拼合软骨支架
'pin'lv'de'xuan'ze 频率的选择
'pin'lv'qu'xian'jian'cha 频率曲线检查
'pin'pu'xin'yin'tu 频谱心音图
'pin'qing'mei'jun'su 频青霉菌素
'pin'san 频散
'pin'ta'bing 品他病
'pin'wu'shui 贫污水
'pin'xi 品系
'pin'xi'tui'hua 品系退化
'pin'xue'xing'geng'si 贫血性梗死
'pin'xue'zhi 贫血痣
'pin'zhong'chun'du 品种纯度
'pin'zhong'jian 品种间
'pin'zhong'jian'ding 品种鉴定
'pin'zhong'jian'za'jiao 品种间杂交
'pin'zhong'jian'za'jiao'xian'xiang 品种间杂交现象
'pin'zhong'lie'hua 品种劣化
'pin'zhong'nei'jia'jie 品种内嫁接
'pin'zhong'qu'yu'hua 品种区域化
'pin'zhong'shi'yan 品种试验
'pin'zhong'shuai'tui 品种衰退
'pin'zhong'te'zheng 品种特征
'pin'zhong'ti'chun'fu'zhuang 品种提纯复壮
'pin'zhong'xiao'qu 品种小区
'pin'zhong'zhong'qun 品种种群
'ping'ao'tou'jing 平凹透镜
'ping'ban'ceng'xi 平板层析
'ping'ban'dian'yong 平板电泳
'ping'ban'ji'shu 平板计数
'ping'ban'jie'zhong 平板接种
'ping'ban'pei'yang 平板培养
'ping'ban'pei'yang'fa 平板培养法
'ping'ban'se'pu'fa 平板色谱法
'ping'ban'wo'lun 平板涡轮
'ping'bao 瓶胞
'ping'duan'lian'jie 平端连接
'ping'duan'liu'dong'rong'hua 平端流动融化
'ping'fen'xing 平分型
'ping'fu'xiang'jian 平伏向键
'ping'gao'xian 平高线
'ping'geng 瓶梗
'ping'geng'bao'zi 瓶梗孢子
'ping'guo'suan 苹果酸
'ping'guo'suan'he'cheng'mei 苹果酸合成酶
'ping'guo'suan'mei 苹果酸酶
'ping'guo'suan'tian'dong'an'suan'xun'huan 苹果酸天冬氨酸循环
'ping'guo'suan'tuo'qing'mei 苹果酸脱氢酶
'ping'guo'suan'yan 苹果酸盐
'ping'guo'xian'an 苹果酰胺
'ping'guo'xian'an'suan 苹果酰胺酸
'ping'guo'xian'ji 苹果酰基
'ping'heng'bang 平衡棒
'ping'heng'bao 平衡胞
'ping'heng'bu'wen 平衡不稳
'ping'heng'ce 平衡侧
'ping'heng'duo'tai 平衡多态
'ping'heng'duo'tai'xian'xiang 平衡多态现象
'ping'heng'duo'tai'xing 平衡多态性
'ping'heng'gan'shou'qi 平衡感受器
'ping'heng'huan'chong'ye 平衡缓冲液
'ping'heng'li'zi 平衡离子
'ping'heng'ma'zui 平衡麻醉
'ping'heng'nang 平衡囊
'ping'heng'sheng'zhang 平衡生长
'ping'heng'shi'jian 平衡时间
'ping'heng'tou'xi 平衡透析
'ping'heng'yi'wei 平衡易位
'ping'heng'yi'wei'lun 平衡移位论
'ping'heng'yun'dong 平衡运动
'ping'heng'zhang'ai 平衡障碍
'ping'heng'zhi'si 平衡致死
'ping'heng'zhi'si'ji'yin 平衡致死基因
'ping'heng'zhui 平衡锥
'ping'heng'zi'tai 平衡姿态
'ping'heng'zu'ai 平衡阻碍
'ping'hua'ji 平滑肌
'ping'hua'ji'liu 平滑肌瘤
'ping'hua'ji'rou'liu 平滑肌肉瘤
'ping'hua'ji'zhang'li'zhang'ai 平滑肌张力障碍
'ping'hua'mian'qu 平滑面龋
'ping'hui'e 平喙鳄
'ping'jian'qie'ji 屏间切迹
'ping'jiao'wo'chong 平角涡虫
'ping'jie'chi 平截翅
